SourceField,TargetField
Service_ID,serviceId
Market,market
Dealer_Cd,dealerCode
Repair_Order_Number,repairOrderNumber
Repair_Order_Open_Date,repairOrderOpenDate
Repair_Order_Close_Date,repairOrderCloseDate
Odometer_In,odometerIn
Odometer_Out,odometerOut
Actual_Labor_Hours,actualLaborHours
Billed_Labor_Hours,billedLaborHours
RO_Total_Price_Calculated,roTotalPriceCalculated
Customer_Price,customerPrice
Internal_Price,internalPrice
Warranty_Price,warrantyPrice
Labor_Price,laborPrice
Customer_Labor_Price,customerLaborPrice
Internal_Labor_Price,internalLaborPrice
Warranty_Labor_Price,warrantyLaborPrice
Parts_Price,partsPrice
Customer_Parts_Price,customerPartsPrice
Internal_Parts_Price,internalPartsPrice
Warranty_Parts_Price,warrantyPartsPrice
RO_Total_Cost_Calculated,roTotalCostCalculated
Customer_Cost,customerCost
Internal_Cost,internalCost
Warranty_Cost,warrantyCost
Labor_Cost,laborCost
Customer_Labor_Cost,customerLaborCost
Internal_Labor_Cost,internalLaborCost
Warranty_Labor_Cost,warrantyLaborCost
Parts_Cost,partsCost
Customer_Parts_Cost,customerPartsCost
Internal_Parts_Cost,internalPartsCost
Warranty_Parts_Cost,warrantyPartsCost
